epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.075,0.93891,2.03625,1.12657,0.83146,0.8142,0.87053,0.65258,0.87312,1.75803,1.09252,0.0667677,2.66071e-05,2.66071e-05
2,448.4,0.88674,1.79245,1.08971,0.83347,0.84337,0.88933,0.68469,0.81532,1.58458,1.05866,0.0334597,5.19553e-05,5.19553e-05
3,666.257,0.85024,1.6353,1.06539,0.87537,0.83673,0.90348,0.69408,0.80834,1.45703,1.05507,0.000150388,7.59834e-05,7.59834e-05
4,882.084,0.82623,1.54781,1.04876,0.88372,0.83953,0.91203,0.70498,0.7842,1.4037,1.04076,7.406e-05,7.406e-05,7.406e-05
5,1098.44,0.81061,1.5013,1.04016,0.88105,0.85576,0.91637,0.72037,0.75847,1.35307,1.02269,7.208e-05,7.208e-05,7.208e-05
6,1314.31,0.80111,1.47688,1.03633,0.87998,0.8535,0.92093,0.72311,0.76496,1.3456,1.02827,7.01e-05,7.01e-05,7.01e-05
7,1530.33,0.78736,1.43207,1.02781,0.89039,0.85889,0.92526,0.72853,0.75208,1.31832,1.01787,6.812e-05,6.812e-05,6.812e-05
8,1745.93,0.78084,1.41169,1.0265,0.88418,0.86585,0.92722,0.73124,0.74391,1.29487,1.01493,6.614e-05,6.614e-05,6.614e-05
9,1961.58,0.77084,1.38921,1.01969,0.89862,0.86436,0.92906,0.73491,0.74359,1.29218,1.01317,6.416e-05,6.416e-05,6.416e-05
10,2177.26,0.76339,1.36872,1.0152,0.88987,0.87382,0.93176,0.74184,0.73925,1.27649,1.01264,6.218e-05,6.218e-05,6.218e-05
11,2392.95,0.76304,1.3701,1.01371,0.89651,0.86979,0.93471,0.74329,0.73847,1.26182,1.01,6.02e-05,6.02e-05,6.02e-05
12,2609,0.76018,1.35334,1.01463,0.89031,0.87338,0.93278,0.73758,0.74841,1.2557,1.01753,5.822e-05,5.822e-05,5.822e-05
13,2824.33,0.75365,1.33272,1.0059,0.88931,0.88296,0.93499,0.74375,0.72932,1.2542,1.01353,5.624e-05,5.624e-05,5.624e-05
14,3039.8,0.74666,1.32356,1.00634,0.88948,0.88998,0.93766,0.74686,0.72795,1.24553,1.0116,5.426e-05,5.426e-05,5.426e-05
15,3255.21,0.7452,1.31102,1.0062,0.89986,0.88366,0.9386,0.74838,0.72392,1.23406,1.00702,5.228e-05,5.228e-05,5.228e-05
16,3470.76,0.73917,1.30059,1.00151,0.90858,0.87778,0.93953,0.75203,0.72121,1.2303,1.00557,5.03e-05,5.03e-05,5.03e-05
17,3686.86,0.73599,1.28775,0.99575,0.89797,0.89185,0.94234,0.7557,0.7138,1.2165,0.99992,4.832e-05,4.832e-05,4.832e-05
18,3902.92,0.73239,1.27771,0.9937,0.90352,0.88589,0.94294,0.75262,0.71695,1.21,1.002,4.634e-05,4.634e-05,4.634e-05
19,4118.57,0.72747,1.27219,0.99644,0.89078,0.89282,0.9423,0.75779,0.71023,1.20959,1.00111,4.436e-05,4.436e-05,4.436e-05
20,4334.16,0.72518,1.26628,0.9959,0.89223,0.89646,0.94165,0.75285,0.71945,1.21162,1.00196,4.238e-05,4.238e-05,4.238e-05
21,4555.31,0.72439,1.25511,0.99533,0.89338,0.8914,0.94158,0.75975,0.70862,1.20496,0.99855,4.04e-05,4.04e-05,4.04e-05
22,4781.11,0.72208,1.24771,0.99233,0.90151,0.88433,0.94324,0.75818,0.71458,1.20769,1.00223,3.842e-05,3.842e-05,3.842e-05
23,4997.16,0.71796,1.24545,0.98955,0.89383,0.89424,0.94217,0.75996,0.70363,1.20101,0.99616,3.644e-05,3.644e-05,3.644e-05
24,5211.48,0.71681,1.24525,0.98637,0.88929,0.89884,0.94426,0.7621,0.70496,1.19519,0.99624,3.446e-05,3.446e-05,3.446e-05
25,5425.84,0.71788,1.24292,0.98753,0.8951,0.89351,0.943,0.76384,0.70133,1.19703,0.99662,3.248e-05,3.248e-05,3.248e-05
